leixing,nianfen,licheng,didian,shoujia,yuanjia,brand
本田 雅阁 2010款 2.0L EX,2009年,12.4万公里,大连,6.98万,22.01万,本田
中华V3 2016款 1.5L 手动舒适型,2017年,2.0万公里,大连,4.06万,7.46万,中华
日产 纳瓦拉 2017款 2.5L自动四驱豪华版QR25,2018年,1.1万公里,大连,17.60万,20.39万,日产
奔腾B50 2013款 1.6L 自动豪华型,2014年,8.3万公里,大连,4.38万,11.38万,奔腾
大众 桑塔纳 2013款 1.4L 手动风尚版,2014年,6.9万公里,大连,3.63万,9.22万,大众
奥迪A4L 2016款 35 TFSI 自动标准型,2016年,5.0万公里,大连,19.80万,33.95万,奥迪
标致308 2014款 乐享版 经典 1.6L 手动优尚型CNG,2016年,1.2万公里,大连,5.58万,12.47万,标致
比亚迪S7 2015款 2.0T 升级版 自动尊贵型,2015年,1.9万公里,大连,6.30万,14.10万,比亚迪
奥迪A4L 2011款 2.0 TFSI 技术型,2011年,8.3万公里,大连,14.05万,40.14万,奥迪
MG3 2013款 1.5L AMT精英版,2014年,6.9万公里,大连,3.07万,9.74万,MG3
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,2016年,8.1万公里,大连,25.50万,32.00万,丰田
别克GL8 2014款 2.4L 经典版,2015年,4.1万公里,大连,10.80万,22.69万,别克
马自达 阿特兹 2017款 2.0L 蓝天豪华版,2016年,3.4万公里,大连,12.85万,20.60万,马自达
吉利GX7 2015款 经典版 1.8L 手动精英型 国V,2015年,8.0万公里,大连,3.19万,9.76万,吉利
马自达CX-5 2012款 2.0L 两驱舒适版(进口),2016年,6.3万公里,大连,12.50万,25.38万,马自达
大众 宝来 2012款 1.6L 自动舒适型,2012年,8.7万公里,大连,5.10万,14.20万,大众
东风风行 景逸X3 2015款 1.5L 舒适型,2015年,3.9万公里,大连,3.60万,7.26万,东风风行
哈弗H2 2014款 1.5T 手动两驱精英版,2015年,4.0万公里,大连,5.18万,11.27万,哈弗
本田CR-V 2013款 2.0L 两驱经典版,2015年,1.9万公里,大连,14.90万,22.56万,本田
日产 逍客 2016款 2.0L CVT精英版,2015年,4.9万公里,大连,10.80万,16.59万,日产
标致408 2011款 2.0L 手动舒适版,2011年,6.5万公里,大连,3.40万,14.10万,标致
大众 速腾 2014款 1.4TSI 手动豪华型,2014年,5.0万公里,大连,7.18万,16.69万,大众
长安 逸动 2013款 1.6L 手动豪华型 国V,2014年,6.2万公里,大连,3.90万,8.78万,长安
丰田 威驰 2008款 1.3L GL-i 特别纪念版 MT,2010年,8.5万公里,大连,3.00万,9.92万,丰田
斯柯达 昊锐 2012款 1.8TSI 自动贵雅版,2013年,8.2万公里,大连,8.55万,23.65万,斯柯达
奥迪A4L 2011款 2.0 TFSI 标准型,2011年,7.8万公里,大连,11.20万,33.63万,奥迪
标致308 2014款 乐享版 经典 1.6L 手动优尚型,2015年,5.9万公里,大连,4.15万,11.50万,标致
江淮 瑞风S3 2016款 1.5L CVT豪华智能尊享版,2016年,2.8万公里,大连,4.43万,9.64万,江淮
起亚K5 2012款 2.0L 自动DLX,2013年,5.2万公里,大连,9.33万,20.49万,起亚
哈弗H5 2018款 经典版 2.0T 手动四驱尊贵型,2017年,1.4万公里,大连,9.49万,13.87万,哈弗
奔驰E级 2012款 E 200 L CGI优雅型,2012年,17.5万公里,大连,15.00万,47.54万,奔驰
马自达CX-5 2013款 2.5L 自动四驱豪华型,2015年,5.3万公里,大连,12.50万,24.94万,马自达
大众POLO 2013款 1.4L 手动风尚版,2013年,4.6万公里,大连,4.00万,9.32万,大众
沃尔沃S60 2012款 1.6T DRIVe 舒适版(进口),2012年,6.4万公里,大连,10.50万,33.30万,沃尔沃
吉利 远景 2017款 1.5L 手动幸福版,2016年,3.3万公里,大连,3.34万,6.39万,吉利
大众 朗逸 2013款 改款经典 1.6L 自动舒适版,2014年,6.3万公里,大连,7.28万,14.97万,大众
本田 缤智 2015款 1.5L CVT两驱舒适型,2016年,5.9万公里,大连,9.90万,14.85万,本田
奔腾X80 2015款 2.0L 自动舒适周年纪念型,2014年,5.9万公里,大连,5.90万,14.31万,奔腾
现代 悦动 2017款 1.6L 自动悦值版GLS,2018年,4.0万公里,大连,6.98万,11.17万,现代
大众 途观 2010款 1.8TSI 自动四驱菁英版,2010年,12.2万公里,大连,7.98万,28.96万,大众
吉利 帝豪 2014款 三厢 1.5L CVT精英型,2015年,5.8万公里,大连,4.85万,9.53万,吉利
起亚 智跑 2012款 2.0L 自动两驱版GL,2013年,11.9万公里,大连,7.90万,19.41万,起亚
福特 福克斯 2012款 三厢 1.6L 自动舒适型,2013年,8.4万公里,大连,4.65万,14.21万,福特
标致301 2014款 1.6L 手动舒适版,2016年,3.4万公里,大连,3.78万,9.19万,标致
本田 锋范 2017款 1.5L CVT舒适版,2018年,1.3万公里,大连,7.63万,9.75万,本田
铃木 雨燕 2016款 1.5L 自动时尚型酷玩版,2017年,1.7万公里,大连,6.10万,8.55万,铃木
众泰T600 2015款 1.5T 手动精英型,2016年,5.8万公里,大连,3.74万,8.66万,众泰
铃木 锋驭 2014款 1.6L CVT两驱精英型,2015年,5.4万公里,大连,6.58万,14.63万,铃木
斯巴鲁 森林人 2011款 2.5XS 自动豪华版,2012年,8.3万公里,大连,9.30万,29.29万,斯巴鲁
Jeep 自由客 2014款 2.4L 蛇行珍藏版(进口),2014年,5.1万公里,大连,11.18万,27.13万,Jeep
东风风神AX7 2015款 2.0L 自动智逸型,2015年,4.9万公里,大连,6.50万,15.16万,东风风神
现代ix35 2013款 2.0L 自动两驱舒适型GL 国IV,2014年,9.2万公里,大连,8.20万,19.95万,现代
大众POLO 2014款 1.4L 手动风尚版,2014年,4.2万公里,大连,4.40万,8.24万,大众
奥迪A3 2015款 Limousine 35 TFSI 百万纪念智领型,2015年,3.3万公里,大连,12.30万,25.39万,奥迪
大众 速腾 2014款 改款 1.6L 手动舒适型,2014年,7.5万公里,大连,6.40万,15.07万,大众
江淮 瑞风M5 2013款 2.0T 汽油自动公务版,2014年,9.2万公里,大连,6.90万,17.31万,江淮
雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT,2015年,5.2万公里,大连,5.70万,11.93万,雪佛兰
三菱 劲炫ASX 2013款 2.0L CVT两驱精英版,2013年,7.8万公里,大连,6.54万,15.17万,三菱
奔驰E级 2011款 E 260 L CGI时尚型,2011年,7.9万公里,大连,16.50万,60.79万,奔驰
奥迪Q3 2013款 35 TFSI quattro 技术型,2014年,4.7万公里,大连,14.20万,36.23万,奥迪
奔驰GLA级 2015款 GLA 200 动感型,2015年,6.2万公里,大连,16.56万,29.29万,奔驰
日产 骊威 2013款 1.6XE CVT舒适版,2014年,7.9万公里,大连,5.35万,10.40万,日产
奔驰B级 2012款 B 180(进口),2014年,4.7万公里,大连,13.50万,30.18万,奔驰
雪佛兰 迈锐宝XL 2016款 1.5T 双离合锐享版,2016年,3.5万公里,大连,10.21万,19.53万,雪佛兰
本田CR-V 2012款 2.4L 四驱豪华版,2014年,12.4万公里,大连,13.98万,26.03万,本田
别克 英朗 2016款 15N 自动精英型,2016年,4.1万公里,大连,6.29万,13.77万,别克
福特 福睿斯 2015款 1.5L 手动时尚型,2016年,6.9万公里,大连,5.50万,11.70万,福特
大众POLO 2014款 1.4L 手动风尚版,2015年,3.7万公里,大连,4.80万,8.24万,大众
别克 昂科拉 2015款 1.4T 自动两驱都市精英型,2016年,5.6万公里,大连,7.88万,16.27万,别克
大众 高尔夫 2016款 1.6L 自动舒适型,2016年,3.6万公里,大连,补贴后7.49万,,大众
奔腾B50 2013款 1.6L 手动豪华型,2015年,8.9万公里,大连,4.19万,10.51万,奔腾
本田 飞度 2014款 1.5L LX CVT舒适型,2016年,2.1万公里,大连,6.04万,8.88万,本田
福特 福克斯 2017款 两厢 1.6L 自动舒适型智行版,2017年,1.5万公里,大连,7.40万,13.76万,福特
别克 君威 2015款 2.0L 精英时尚型,2015年,11.2万公里,大连,6.80万,21.05万,别克
大众 途观 2010款 2.0TSI 自动四驱旗舰版,2011年,8.3万公里,大连,10.80万,32.00万,大众
宝马X3 2011款 xDrive28i 豪华型(进口),2012年,8.3万公里,大连,19.90万,64.69万,宝马
凯迪拉克SRX 2011款 3.0L 旗舰型(进口),2010年,7.9万公里,大连,12.20万,62.74万,凯迪拉克
铃木 天语 SX4 2016款 1.6L 自动经典版,2016年,5.1万公里,大连,6.50万,9.75万,铃木
日产 天籁 2012款 2.0L XL智享版,2012年,7.6万公里,大连,7.80万,23.86万,日产
日产 蓝鸟 2016款 1.6L CVT智酷版,2016年,2.7万公里,大连,8.50万,14.32万,日产
奥迪A8L 2013款 A8L 45 TFSI quattro专享型(进口),2013年,11.0万公里,大连,34.90万,120.27万,奥迪
大众 凌渡 2015款 230TSI DSG风尚版,2016年,6.7万公里,大连,10.38万,17.36万,大众
大众 途观 2013款 1.8TSI 自动四驱豪华型,2013年,8.2万公里,大连,11.30万,30.05万,大众
本田CR-V 2013款 2.4L 两驱豪华版,2014年,3.9万公里,大连,15.80万,24.94万,本田
川汽野马 野马T70 2016款 升级版 1.5T 手动领先型,2019年,100公里,大连,6.50万,8.88万,川汽野马
大众 朗行 2013款 1.4TSI 自动舒适型,2015年,8.3万公里,大连,7.80万,16.38万,大众
大众 途观 2010款 1.8TSI 自动两驱菁英版,2011年,10.1万公里,大连,9.50万,27.33万,大众
荣威350 2014款 1.5L 手动迅捷版,2014年,5.7万公里,大连,3.48万,9.85万,荣威
福特 探险者 2013款 3.5L 尊享型(进口),2014年,12.8万公里,大连,17.80万,54.25万,福特
本田CR-V 2010款 2.0L 自动四驱经典版,2010年,9.0万公里,大连,7.90万,23.64万,本田
别克GL8 2014款 2.4L 经典版,2014年,9.5万公里,大连,9.50万,22.69万,别克
本田 锋范 2017款 1.5L CVT精英版,2017年,3.9万公里,大连,7.50万,10.40万,本田
现代 索纳塔九 2015款 1.6T GLS智能型,2016年,5.3万公里,大连,10.63万,21.14万,现代
MG6 2015款 掀背 1.8T 90周年赛道冠军版自动inkaNet精英型,2016年,5.6万公里,大连,6.80万,16.15万,MG6
众泰Z700 2016款 1.8T DCT典雅型,2016年,5.1万公里,大连,6.06万,13.98万,众泰
大众 高尔夫 2012款 1.4TSI 自动舒适型,2013年,7.5万公里,大连,7.50万,15.72万,大众
宝骏560 2015款 1.8L 手动豪华型,2016年,3.4万公里,大连,5.00万,9.75万,宝骏
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,2013年,5.0万公里,大连,9.69万,20.60万,福特
大众 蔚领 2017款 1.6L 自动豪华型,2017年,7.1万公里,大连,10.05万,16.49万,大众
大众 速腾 2018款 280TSI DSG熠动版,2018年,1.7万公里,大连,12.26万,17.78万,大众
现代 名图 2016款 1.8L 自动尊贵型DLX,2016年,4.6万公里,大连,9.90万,17.35万,现代
斯柯达 明锐 2012款 1.6L 手动逸杰版,2012年,10.0万公里,大连,3.70万,13.95万,斯柯达
丰田 YARiS L 致炫 2014款 1.3E 手动魅动版,2015年,6.2万公里,大连,4.38万,8.12万,丰田
大众 速腾 2012款 1.6L 自动舒适型,2013年,8.6万公里,大连,7.30万,16.37万,大众
MINI Countryman 2012款 1.6T COOPER S,2013年,2.2万公里,大连,13.80万,36.80万,MINI
福特 福克斯 2017款 两厢 1.6L 自动风尚型智行版,2017年,4.1万公里,大连,8.28万,15.07万,福特
荣威ei6 2017款 45T 混动互联智享版,2018年,1.6万公里,大连,11.20万,21.90万,荣威
奥迪A4L 2017款 40 TFSI 时尚型,2017年,2.1万公里,大连,22.12万,36.88万,奥迪
奇瑞 艾瑞泽5 2016款 1.5L 手动领潮版,2016年,2.1万公里,大连,3.64万,6.94万,奇瑞
本田 飞度 2018款 1.5L CVT舒适版,2018年,1.1万公里,大连,7.80万,8.88万,本田
奔驰C级 2018款 C 200 旅行轿车(进口),2018年,2.6万公里,大连,32.20万,42.20万,奔驰
宝马1系 2013款 改款 116i 领先型(进口),2013年,5.5万公里,大连,11.80万,28.44万,宝马
大众 朗逸 2015款 1.6L 自动舒适版,2015年,7.0万公里,大连,7.80万,14.86万,大众
福特 福克斯 2012款 两厢 1.6L 自动风尚型,2013年,6.1万公里,大连,6.18万,15.62万,福特
丰田 凯美瑞 2016款 2.0G 十周年纪念领先版,2017年,8.7万公里,大连,14.60万,21.25万,丰田
大众 迈腾 2013款 2.0TSI 豪华型,2013年,8.7万公里,大连,12.00万,26.90万,大众
奥迪A6L 2016款 TFSI 舒适型,2016年,12.4万公里,大连,26.20万,48.68万,奥迪
大众 速腾 2014款 改款 1.4TSI 自动豪华型,2015年,6.6万公里,大连,8.90万,18.21万,大众
别克 君威 2015款 1.6T 领先技术型,2017年,3.3万公里,大连,10.33万,20.61万,别克
奔驰GLK级 2011款 GLK 300 4MATIC 时尚型(进口),2011年,15.6万公里,大连,14.80万,53.73万,奔驰
铃木 雨燕 2011款 1.5L 自动时尚版,2012年,6.0万公里,大连,3.30万,8.66万,铃木
奔驰C级 2011款 C 180K 经典型,2012年,8.5万公里,大连,11.06万,33.43万,奔驰
大众 途观 2012款 1.8TSI 自动四驱风尚版,2012年,11.2万公里,大连,8.68万,27.22万,大众
现代 名图 2016款 1.8L 自动智能型GLS,2016年,7.4万公里,大连,9.60万,16.26万,现代
日产 天籁 2016款 2.0L XL舒适版,2016年,3.5万公里,大连,13.90万,20.17万,日产
大众 宝来 2016款 1.6L 手动时尚型,2016年,3.8万公里,大连,7.28万,11.70万,大众
MG6 2012款 掀背 1.8L 自动驾值版,2011年,8.3万公里,大连,3.16万,15.07万,MG6
本田 飞度 2016款 1.5L LXS CVT舒适天窗版,2016年,5.9万公里,大连,6.80万,9.31万,本田
哈弗H6 2013款 升级版 1.5T 手动两驱精英型,2013年,10.9万公里,大连,4.18万,12.57万,哈弗
福特 福克斯 2017款 三厢 1.6L 手动舒适型智行版,2016年,2.1万公里,大连,6.25万,12.57万,福特
别克 君威 2011款 2.4L SIDI舒适版,2011年,6.1万公里,大连,6.41万,22.35万,别克
别克 英朗 2016款 15N 自动豪华型,2016年,3.5万公里,大连,7.07万,14.86万,别克
大众 高尔夫 2015款 1.4TSI 自动豪华型,2015年,8.1万公里,大连,10.00万,18.01万,大众
江淮 瑞风S3 2016款 1.5L CVT豪华智能尊享版,2016年,8.9万公里,大连,4.20万,9.64万,江淮
Jeep 指南者 2017款 200T 自动家享四驱版,2018年,2.4万公里,大连,13.53万,21.25万,Jeep
别克GL8 2014款 2.4L 经典版,2014年,8.4万公里,大连,9.80万,22.69万,别克
福特 蒙迪欧-致胜 2011款 2.0L GTDi200时尚型,2012年,8.0万公里,大连,5.68万,21.69万,福特
马自达CX-5 2013款 2.0L 自动四驱精英型,2013年,6.2万公里,大连,10.20万,22.56万,马自达
宝马3系 2010款 318i 领先型,2010年,8.6万公里,大连,8.80万,31.80万,宝马
标致301 2014款 1.6L 手动舒适版,2015年,5.7万公里,大连,3.22万,9.19万,标致
奥迪Q5 2015款 40 TFSI 技术型,2015年,9.8万公里,大连,23.58万,46.85万,奥迪
长安CS75 2014款 1.8T 自动尊贵型 国IV,2016年,5.2万公里,大连,6.74万,15.61万,长安
福特 福克斯 2015款 三厢 1.6L 自动舒适型,2015年,7.9万公里,大连,6.48万,13.55万,福特
丰田 YARiS L 致享 2017款 1.5E CVT魅动版,2017年,3.6万公里,大连,6.80万,9.53万,丰田
大众 桑塔纳 2015款 1.6L 手动风尚版,2016年,6.5万公里,大连,5.30万,9.76万,大众
宝马X3 2012款 xDrive20i 豪华型(进口),2013年,7.2万公里,大连,20.00万,52.86万,宝马
海马骑士 2013款 2.0L 自动智能领航型,2012年,8.1万公里,大连,4.00万,16.59万,海马骑士
本田 凌派 2015款 1.8L 自动舒适版,2016年,0.5万公里,大连,9.30万,13.55万,本田
哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,2016年,0.6万公里,大连,7.90万,14.85万,哈弗
Jeep 指南者 2014款 改款 2.4L 四驱舒适版(进口),2015年,2.1万公里,大连,9.93万,26.69万,Jeep
大众 速腾 2014款 1.6L 自动舒适型,2014年,8.9万公里,大连,7.80万,16.37万,大众
本田 凌派 2016款 1.8L CVT豪华版,2016年,5.7万公里,大连,8.90万,14.63万,本田
宝马1系 2016款 118i 领先型(进口),2016年,4.7万公里,大连,14.88万,27.79万,宝马
宝骏730 2014款 1.5L 手动舒适ESP版 7座,2015年,5.8万公里,大连,4.13万,8.23万,宝骏
大众 捷达 2017款 1.5L 自动时尚型,2018年,1.5万公里,大连,6.50万,10.38万,大众
丰田 卡罗拉 2011款 1.6L 自动GL,2010年,9.5万公里,大连,5.38万,14.31万,丰田
大众 迈腾 2011款 1.8TSI DSG舒适型,2010年,11.7万公里,大连,5.84万,24.62万,大众
起亚K3 2015款 1.6L 自动GLS,2015年,4.8万公里,大连,6.60万,13.55万,起亚
福特 福克斯 2011款 三厢 1.8L 自动时尚型,2011年,10.4万公里,大连,3.30万,13.87万,福特
大众 宝来 2017款 1.6L 手动舒适型,2017年,2.4万公里,大连,7.58万,13.00万,大众
现代 领动 2016款 1.6L 自动智炫·精英型,2017年,3.2万公里,大连,7.75万,13.00万,现代
大众 捷达 2015款 质惠版 1.6L 手动时尚型,2017年,10.0万公里,大连,4.88万,9.29万,大众
马自达6 2008款 2.0L 自动时尚型,2010年,12.1万公里,大连,4.64万,19.52万,马自达
雷诺 卡缤 2015款 1.2T 自动标准版(进口),2015年,7.5万公里,大连,5.68万,15.17万,雷诺
奥迪Q5 2013款 40 TFSI 进取型,2013年,11.7万公里,大连,18.50万,41.64万,奥迪
别克 君越 2013款 2.4L SIDI领先舒适型,2014年,8.0万公里,大连,10.98万,25.61万,别克
福特 猛禽 2011款 6.2L Harley-Davspecidson(进口),2014年,4.5万公里,大连,28.80万,89.88万,福特
日产 天籁 2013款 2.0L XL舒适版,2015年,5.5万公里,大连,11.60万,20.17万,日产
别克 君威 2012款 2.0L 舒适版,2013年,11.2万公里,大连,7.50万,20.18万,别克
雪佛兰 科帕奇 2012款 2.4L 四驱旗舰版 7座,2013年,6.1万公里,大连,9.00万,28.63万,雪佛兰
雪佛兰 迈锐宝 2014款 2.4L 自动豪华版,2015年,8.1万公里,大连,8.31万,22.24万,雪佛兰
北汽绅宝 绅宝X65 2015款 2.0T 自动精英型,2016年,6.3万公里,大连,5.90万,14.09万,北汽绅宝
奥迪A6L 2011款 2.4L 技术型,2011年,7.6万公里,大连,12.60万,47.87万,奥迪
标致2008 2014款 1.6L 自动时尚版,2016年,7.3万公里,大连,5.86万,13.21万,标致
现代ix25 2015款 1.6L 自动两驱尊贵型DLX,2014年,5.3万公里,大连,8.99万,17.02万,现代
别克 英朗 2015款 15N 自动豪华型,2015年,7.2万公里,大连,6.98万,14.86万,别克
荣威350 2014款 1.5L 自动迅达版,2015年,3.8万公里,大连,4.60万,9.19万,荣威
雪佛兰 科鲁兹 2016款 1.5L 自动豪华版,2015年,7.2万公里,大连,5.98万,14.97万,雪佛兰
本田 思域 2016款 180TURBO CVT舒适版,2018年,1.1万公里,大连,11.60万,13.88万,本田
本田 飞度 2018款 1.5L CVT舒适天窗版,2019年,1.4万公里,大连,7.98万,9.31万,本田
大众 迈腾 2013款 1.8TSI 豪华型,2015年,5.6万公里,大连,12.50万,25.27万,大众
本田 飞度 2016款 1.5L LX CVT舒适型,2016年,4.7万公里,大连,7.12万,8.88万,本田
别克 凯越 2013款 1.5L 自动经典型,2014年,7.5万公里,大连,4.30万,11.06万,别克
宝马1系 2012款 118i 运动型(进口),2012年,12.1万公里,大连,10.00万,33.22万,宝马
现代 朗动 2013款 1.6L 自动领先型,2014年,4.2万公里,大连,6.58万,13.87万,现代
启辰T70X 2015款 2.0L CVT睿趣运动版,2016年,5.7万公里,大连,7.20万,13.56万,启辰
起亚K3 2015款 1.6L 自动GLS,2016年,3.5万公里,大连,7.00万,13.55万,起亚
丰田 威驰 2014款 1.5L 自动智臻版,2014年,4.6万公里,大连,5.80万,9.53万,丰田
大众 凌渡 2015款 330TSI DSG舒适版,2016年,4.0万公里,大连,11.80万,21.16万,大众
奥迪Q5 2013款 40 TFSI 舒适型,2013年,10.0万公里,大连,18.80万,52.31万,奥迪
现代 索纳塔八 2013款 2.4L 自动领先版 国IV,2013年,5.8万公里,大连,9.49万,21.70万,现代
MINI 2011款 1.6L COOPER Fun,2012年,8.6万公里,大连,10.80万,29.20万,MINI
丰田 皇冠 2018款 2.0T 运动版,2018年,1.6万公里,大连,32.00万,,丰田
起亚K4 2014款 1.6T 自动Turbo,2014年,4.8万公里,大连,7.82万,17.35万,起亚
哈弗H6 2011款 2.0L 手动两驱精英型,2013年,3.4万公里,大连,4.50万,11.48万,哈弗
日产 轩逸 2016款 1.6XL CVT豪华版,2016年,3.0万公里,大连,8.70万,14.65万,日产
现代 朗动 2013款 1.6L 自动领先型,2013年,6.0万公里,大连,5.54万,13.87万,现代
启辰D50 2013款 1.6L 手动时尚版,2013年,6.2万公里,大连,3.17万,7.47万,启辰
丰田 雷凌 2017款 改款 185T CVT领先版 国VI,2018年,0.7万公里,大连,12.28万,14.74万,丰田
本田 奥德赛 2015款 改款 2.4L 智享版,2017年,4.6万公里,大连,22.80万,28.96万,本田
哈弗H6 2013款 1.5T 手动四驱都市型,2013年,5.2万公里,大连,4.40万,11.81万,哈弗
宝马3系 2013款 320i 进取型,2014年,7.9万公里,大连,17.71万,34.30万,宝马
斯柯达 晶锐 2012款 1.4L 自动晶灵版,2012年,6.9万公里,大连,4.10万,10.84万,斯柯达
大众 途锐 2011款 3.0TSI 标配型(进口),2011年,10.4万公里,大连,21.50万,78.15万,大众
马自达3星骋 2013款 两厢 1.6L 自动精英型,2013年,9.0万公里,大连,5.29万,14.09万,马自达
众泰T600 2016款 运动版 2.0T 自动尊贵型,2016年,2.9万公里,大连,6.28万,15.17万,众泰
丰田 皇冠 2018款 2.0T 运动版,2018年,4.0万公里,大连,24.58万,31.46万,丰田
日产 逍客 2016款 2.0L CVT精英版,2017年,3.7万公里,大连,11.30万,16.59万,日产
雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT,2016年,4.3万公里,大连,5.60万,11.93万,雪佛兰
奔驰GLK级 2013款 改款 GLK 300 4MATIC 时尚型,2013年,8.8万公里,大连,22.60万,52.65万,奔驰
别克GL8 2013款 3.0L XT豪华商务旗舰版,2013年,8.3万公里,大连,14.90万,43.41万,别克
现代ix35 2015款 2.0L 自动两驱领先型 国V,2015年,4.6万公里,大连,9.12万,21.25万,现代
现代 途胜 2015款 1.6T 双离合两驱智能型,2016年,4.7万公里,大连,11.50万,19.53万,现代
奔驰C级 2015款 改款 C 180 L 运动型,2016年,2.6万公里,大连,24.98万,35.36万,奔驰
宝马5系 2014款 525Li 领先型,2016年,8.9万公里,大连,27.88万,50.65万,宝马
福特 福克斯 2012款 三厢 1.6L 自动风尚型,2013年,8.3万公里,大连,5.17万,15.62万,福特
宝马X6 2011款 xDrive35i(进口),2012年,6.6万公里,大连,30.44万,114.52万,宝马
雪佛兰 科鲁兹 2013款 1.8L SE AT,2013年,4.6万公里,大连,5.50万,14.86万,雪佛兰
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,2015年,4.4万公里,大连,11.18万,20.60万,福特
马自达6 2013款 2.0L 自动时尚型,2015年,7.9万公里,大连,7.80万,16.04万,马自达
马自达6 2007款 2.0L 手动型,2009年,8.6万公里,大连,3.50万,18.54万,马自达
传祺GS4 2015款 200T 手动精英版,2016年,3.1万公里,大连,6.27万,11.81万,传祺
起亚 索兰托 2013款 2.4L 7座汽油至尊版 国IV(进口),2015年,6.3万公里,大连,13.60万,31.35万,起亚
纳智捷 优6 SUV 2014款 1.8T 时尚型,2015年,2.6万公里,大连,6.18万,16.26万,纳智捷
本田 飞度 2014款 1.5L LX CVT舒适型,2016年,2.4万公里,大连,8.42万,8.88万,本田
奔腾X80 2013款 2.0L 自动豪华型,2013年,6.6万公里,大连,5.50万,15.83万,奔腾
大众 帕萨特 2011款 1.8TSI DSG御尊版,2012年,8.5万公里,大连,12.30万,26.03万,大众
雪佛兰 科鲁兹 2012款 1.6L SE MT,2012年,14.6万公里,大连,3.00万,13.01万,雪佛兰
比亚迪F3 2015款 节能版 1.5L 手动豪华型,2016年,6.2万公里,大连,3.10万,6.07万,比亚迪
大众POLO 2013款 1.4L 手动风尚版,2013年,4.8万公里,大连,3.42万,9.32万,大众
福特 嘉年华 2009款 两厢 1.5L 自动时尚型,2010年,9.4万公里,大连,3.15万,10.41万,福特
荣威550 2012款 550 1.8L 自动超值版,2013年,6.2万公里,大连,4.36万,15.17万,荣威
福特 嘉年华 2010款 两厢 1.5L 自动光芒限定版,2010年,10.4万公里,大连,3.13万,10.95万,福特
大众 宝来 2019款 1.5L 自动精英型,2019年,0.8万公里,大连,11.48万,15.09万,大众
奔腾X80 2015款 2.0L 手动豪华型,2015年,5.2万公里,大连,6.00万,14.31万,奔腾
现代 瑞纳 2014款 1.4L 手动智能型GLS,2015年,4.1万公里,大连,4.30万,8.56万,现代
雪佛兰 2015款 赛欧3 1.3L AMT理想版,2016年,3.5万公里,大连,3.90万,7.48万,雪佛兰
MINI Countryman 2014款 1.6T COOPER ALL4 Fun,2015年,1.5万公里,大连,16.90万,32.13万,MINI
宝马3系 2011款 325i敞篷轿跑版(进口),2010年,7.2万公里,大连,14.50万,70.01万,宝马
大众 途观 2015款 1.8TSI 自动两驱豪华型,2015年,5.5万公里,大连,13.94万,28.20万,大众
哈弗H6 2014款 升级版 1.5T 手动两驱精英型,2014年,7.7万公里,大连,4.28万,13.00万,哈弗
雪佛兰 2016款 赛欧3 1.3L 手动舒适天窗版,2016年,4.5万公里,大连,3.68万,6.94万,雪佛兰
大众 宝来 2013款 1.6L 手动时尚型,2013年,5.5万公里,大连,5.30万,11.70万,大众
福特 翼虎 2013款 1.6L GTDi 两驱舒适型,2014年,6.3万公里,大连,9.00万,21.04万,福特
现代 全新胜达 2013款 改款 2.4L 自动四驱智能型,2014年,7.8万公里,大连,10.00万,28.42万,现代
马自达6 2008款 2.0L 自动时尚型,2010年,10.0万公里,大连,4.20万,19.52万,马自达
丰田 YARiS L 致享 2017款 1.5E CVT魅动版,2018年,2.4万公里,大连,6.98万,9.53万,丰田
大众 高尔夫 2016款 230TSI 自动舒适型,2016年,3.8万公里,大连,9.98万,16.81万,大众
大众 朗逸 2015款 1.6L 自动风尚版,2016年,8.7万公里,大连,7.98万,13.23万,大众
大众 桑塔纳 2016款 1.4L 手动风尚版,2017年,6.5万公里,大连,5.60万,9.22万,大众
丰田 汉兰达 2009款 2.7L 两驱7座豪华导航版,2010年,7.7万公里,大连,13.30万,34.60万,丰田
奔驰C级 2015款 C 200 L 运动型,2015年,8.5万公里,大连,23.80万,40.05万,奔驰
福特 蒙迪欧  2.0L GTDi200时尚型,2016年,9.7万公里,大连,12.68万,22.01万,福特
日产 奇骏 2010款 2.5L CVT旗舰版 4WD,2011年,5.0万公里,大连,8.09万,28.09万,日产
本田CR-V 2012款 2.0L 两驱都市版,2012年,11.1万公里,大连,10.40万,21.04万,本田
大众 捷达 2015款 质惠版 1.6L 手动时尚型,2016年,5.9万公里,大连,5.20万,9.29万,大众
五菱宏光 2014款 1.5L S舒适型,2015年,3.6万公里,大连,3.38万,7.14万,五菱宏光
大众 高尔夫 2011款 1.6 手动舒适型,2011年,13.2万公里,大连,4.58万,13.66万,大众
大众 朗行 2015款 230TSI DSG舒适版,2017年,1.4万公里,大连,9.50万,16.27万,大众
哈弗H6 2014款 运动版 1.5T 手动两驱精英型,2015年,2.5万公里,大连,6.20万,13.98万,哈弗
丰田 花冠 2013款 1.6L 自动豪华版,2015年,7.2万公里,大连,6.88万,12.35万,丰田
