leixing,nianfen,licheng,didian,shoujia,yuanjia
奥迪A4L 2011款 2.0 TFSI 标准型,2011年,7.8万公里,大连,11.20万,33.63万
标致308 2014款 乐享版 经典 1.6L 手动优尚型,2015年,5.9万公里,大连,4.15万,11.50万
江淮 瑞风S3 2016款 1.5L CVT豪华智能尊享版,2016年,2.8万公里,大连,4.43万,9.64万
起亚K5 2012款 2.0L 自动DLX,2013年,5.2万公里,大连,9.33万,20.49万
哈弗H5 2018款 经典版 2.0T 手动四驱尊贵型,2017年,1.4万公里,大连,9.49万,13.87万
奔驰E级 2012款 E 200 L CGI优雅型,2012年,17.5万公里,大连,15.00万,47.54万
马自达CX-5 2013款 2.5L 自动四驱豪华型,2015年,5.3万公里,大连,12.50万,24.94万
大众POLO 2013款 1.4L 手动风尚版,2013年,4.6万公里,大连,4.00万,9.32万
沃尔沃S60 2012款 1.6T DRIVe 舒适版(进口),2012年,6.4万公里,大连,10.50万,33.30万
吉利 远景 2017款 1.5L 手动幸福版,2016年,3.3万公里,大连,3.34万,6.39万
大众 朗逸 2013款 改款经典 1.6L 自动舒适版,2014年,6.3万公里,大连,7.28万,14.97万
本田 缤智 2015款 1.5L CVT两驱舒适型,2016年,5.9万公里,大连,9.90万,14.85万
奔腾X80 2015款 2.0L 自动舒适周年纪念型,2014年,5.9万公里,大连,5.90万,14.31万
现代 悦动 2017款 1.6L 自动悦值版GLS,2018年,4.0万公里,大连,6.98万,11.17万
大众 途观 2010款 1.8TSI 自动四驱菁英版,2010年,12.2万公里,大连,7.98万,28.96万
吉利 帝豪 2014款 三厢 1.5L CVT精英型,2015年,5.8万公里,大连,4.85万,9.53万
起亚 智跑 2012款 2.0L 自动两驱版GL,2013年,11.9万公里,大连,7.90万,19.41万
福特 福克斯 2012款 三厢 1.6L 自动舒适型,2013年,8.4万公里,大连,4.65万,14.21万
标致301 2014款 1.6L 手动舒适版,2016年,3.4万公里,大连,3.78万,9.19万
本田 锋范 2017款 1.5L CVT舒适版,2018年,1.3万公里,大连,7.63万,9.75万
铃木 雨燕 2016款 1.5L 自动时尚型酷玩版,2017年,1.7万公里,大连,6.10万,8.55万
众泰T600 2015款 1.5T 手动精英型,2016年,5.8万公里,大连,3.74万,8.66万
铃木 锋驭 2014款 1.6L CVT两驱精英型,2015年,5.4万公里,大连,6.58万,14.63万
斯巴鲁 森林人 2011款 2.5XS 自动豪华版,2012年,8.3万公里,大连,9.30万,29.29万
Jeep 自由客 2014款 2.4L 蛇行珍藏版(进口),2014年,5.1万公里,大连,11.18万,27.13万
东风风神AX7 2015款 2.0L 自动智逸型,2015年,4.9万公里,大连,6.50万,15.16万
现代ix35 2013款 2.0L 自动两驱舒适型GL 国IV,2014年,9.2万公里,大连,8.20万,19.95万
大众POLO 2014款 1.4L 手动风尚版,2014年,4.2万公里,大连,4.40万,8.24万
奥迪A3 2015款 Limousine 35 TFSI 百万纪念智领型,2015年,3.3万公里,大连,12.30万,25.39万
大众 速腾 2014款 改款 1.6L 手动舒适型,2014年,7.5万公里,大连,6.40万,15.07万
江淮 瑞风M5 2013款 2.0T 汽油自动公务版,2014年,9.2万公里,大连,6.90万,17.31万
雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT,2015年,5.2万公里,大连,5.70万,11.93万
三菱 劲炫ASX 2013款 2.0L CVT两驱精英版,2013年,7.8万公里,大连,6.54万,15.17万
奔驰E级 2011款 E 260 L CGI时尚型,2011年,7.9万公里,大连,16.50万,60.79万
奥迪Q3 2013款 35 TFSI quattro 技术型,2014年,4.7万公里,大连,14.20万,36.23万
奔驰GLA级 2015款 GLA 200 动感型,2015年,6.2万公里,大连,16.56万,29.29万
日产 骊威 2013款 1.6XE CVT舒适版,2014年,7.9万公里,大连,5.35万,10.40万
奔驰B级 2012款 B 180(进口),2014年,4.7万公里,大连,13.50万,30.18万
雪佛兰 迈锐宝XL 2016款 1.5T 双离合锐享版,2016年,3.5万公里,大连,10.21万,19.53万
本田CR-V 2012款 2.4L 四驱豪华版,2014年,12.4万公里,大连,13.98万,26.03万
别克 英朗 2016款 15N 自动精英型,2016年,4.1万公里,大连,6.29万,13.77万
福特 福睿斯 2015款 1.5L 手动时尚型,2016年,6.9万公里,大连,5.50万,11.70万
大众POLO 2014款 1.4L 手动风尚版,2015年,3.7万公里,大连,4.80万,8.24万
别克 昂科拉 2015款 1.4T 自动两驱都市精英型,2016年,5.6万公里,大连,7.88万,16.27万
大众 高尔夫 2016款 1.6L 自动舒适型,2016年,3.6万公里,大连,补贴后7.49万,
奔腾B50 2013款 1.6L 手动豪华型,2015年,8.9万公里,大连,4.19万,10.51万
本田 飞度 2014款 1.5L LX CVT舒适型,2016年,2.1万公里,大连,6.04万,8.88万
福特 福克斯 2017款 两厢 1.6L 自动舒适型智行版,2017年,1.5万公里,大连,7.40万,13.76万
别克 君威 2015款 2.0L 精英时尚型,2015年,11.2万公里,大连,6.80万,21.05万
大众 途观 2010款 2.0TSI 自动四驱旗舰版,2011年,8.3万公里,大连,10.80万,32.00万
宝马X3 2011款 xDrive28i 豪华型(进口),2012年,8.3万公里,大连,19.90万,64.69万
凯迪拉克SRX 2011款 3.0L 旗舰型(进口),2010年,7.9万公里,大连,12.20万,62.74万
铃木 天语 SX4 2016款 1.6L 自动经典版,2016年,5.1万公里,大连,6.50万,9.75万
日产 天籁 2012款 2.0L XL智享版,2012年,7.6万公里,大连,7.80万,23.86万
日产 蓝鸟 2016款 1.6L CVT智酷版,2016年,2.7万公里,大连,8.50万,14.32万
奥迪A8L 2013款 A8L 45 TFSI quattro专享型(进口),2013年,11.0万公里,大连,34.90万,120.27万
大众 凌渡 2015款 230TSI DSG风尚版,2016年,6.7万公里,大连,10.38万,17.36万
大众 途观 2013款 1.8TSI 自动四驱豪华型,2013年,8.2万公里,大连,11.30万,30.05万
本田CR-V 2013款 2.4L 两驱豪华版,2014年,3.9万公里,大连,15.80万,24.94万
川汽野马 野马T70 2016款 升级版 1.5T 手动领先型,2019年,100公里,大连,6.50万,8.88万
大众 朗行 2013款 1.4TSI 自动舒适型,2015年,8.3万公里,大连,7.80万,16.38万
大众 途观 2010款 1.8TSI 自动两驱菁英版,2011年,10.1万公里,大连,9.50万,27.33万
荣威350 2014款 1.5L 手动迅捷版,2014年,5.7万公里,大连,3.48万,9.85万
福特 探险者 2013款 3.5L 尊享型(进口),2014年,12.8万公里,大连,17.80万,54.25万
本田CR-V 2010款 2.0L 自动四驱经典版,2010年,9.0万公里,大连,7.90万,23.64万
别克GL8 2014款 2.4L 经典版,2014年,9.5万公里,大连,9.50万,22.69万
本田 锋范 2017款 1.5L CVT精英版,2017年,3.9万公里,大连,7.50万,10.40万
现代 索纳塔九 2015款 1.6T GLS智能型,2016年,5.3万公里,大连,10.63万,21.14万
MG6 2015款 掀背 1.8T 90周年赛道冠军版自动inkaNet精英型,2016年,5.6万公里,大连,6.80万,16.15万
众泰Z700 2016款 1.8T DCT典雅型,2016年,5.1万公里,大连,6.06万,13.98万
大众 高尔夫 2012款 1.4TSI 自动舒适型,2013年,7.5万公里,大连,7.50万,15.72万
宝骏560 2015款 1.8L 手动豪华型,2016年,3.4万公里,大连,5.00万,9.75万
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,2013年,5.0万公里,大连,9.69万,20.60万
大众 蔚领 2017款 1.6L 自动豪华型,2017年,7.1万公里,大连,10.05万,16.49万
大众 速腾 2018款 280TSI DSG熠动版,2018年,1.7万公里,大连,12.26万,17.78万
现代 名图 2016款 1.8L 自动尊贵型DLX,2016年,4.6万公里,大连,9.90万,17.35万
斯柯达 明锐 2012款 1.6L 手动逸杰版,2012年,10.0万公里,大连,3.70万,13.95万
丰田 YARiS L 致炫 2014款 1.3E 手动魅动版,2015年,6.2万公里,大连,4.38万,8.12万
大众 速腾 2012款 1.6L 自动舒适型,2013年,8.6万公里,大连,7.30万,16.37万
MINI Countryman 2012款 1.6T COOPER S,2013年,2.2万公里,大连,13.80万,36.80万
福特 福克斯 2017款 两厢 1.6L 自动风尚型智行版,2017年,4.1万公里,大连,8.28万,15.07万
荣威ei6 2017款 45T 混动互联智享版,2018年,1.6万公里,大连,11.20万,21.90万
奥迪A4L 2017款 40 TFSI 时尚型,2017年,2.1万公里,大连,22.12万,36.88万
奇瑞 艾瑞泽5 2016款 1.5L 手动领潮版,2016年,2.1万公里,大连,3.64万,6.94万
本田 飞度 2018款 1.5L CVT舒适版,2018年,1.1万公里,大连,7.80万,8.88万
奔驰C级 2018款 C 200 旅行轿车(进口),2018年,2.6万公里,大连,32.20万,42.20万
宝马1系 2013款 改款 116i 领先型(进口),2013年,5.5万公里,大连,11.80万,28.44万
大众 朗逸 2015款 1.6L 自动舒适版,2015年,7.0万公里,大连,7.80万,14.86万
福特 福克斯 2012款 两厢 1.6L 自动风尚型,2013年,6.1万公里,大连,6.18万,15.62万
丰田 凯美瑞 2016款 2.0G 十周年纪念领先版,2017年,8.7万公里,大连,14.60万,21.25万
大众 迈腾 2013款 2.0TSI 豪华型,2013年,8.7万公里,大连,12.00万,26.90万
奥迪A6L 2016款 TFSI 舒适型,2016年,12.4万公里,大连,26.20万,48.68万
大众 速腾 2014款 改款 1.4TSI 自动豪华型,2015年,6.6万公里,大连,8.90万,18.21万
别克 君威 2015款 1.6T 领先技术型,2017年,3.3万公里,大连,10.33万,20.61万
奔驰GLK级 2011款 GLK 300 4MATIC 时尚型(进口),2011年,15.6万公里,大连,14.80万,53.73万
铃木 雨燕 2011款 1.5L 自动时尚版,2012年,6.0万公里,大连,3.30万,8.66万
奔驰C级 2011款 C 180K 经典型,2012年,8.5万公里,大连,11.06万,33.43万
大众 途观 2012款 1.8TSI 自动四驱风尚版,2012年,11.2万公里,大连,8.68万,27.22万
现代 名图 2016款 1.8L 自动智能型GLS,2016年,7.4万公里,大连,9.60万,16.26万
日产 天籁 2016款 2.0L XL舒适版,2016年,3.5万公里,大连,13.90万,20.17万
大众 宝来 2016款 1.6L 手动时尚型,2016年,3.8万公里,大连,7.28万,11.70万
MG6 2012款 掀背 1.8L 自动驾值版,2011年,8.3万公里,大连,3.16万,15.07万
本田 飞度 2016款 1.5L LXS CVT舒适天窗版,2016年,5.9万公里,大连,6.80万,9.31万
哈弗H6 2013款 升级版 1.5T 手动两驱精英型,2013年,10.9万公里,大连,4.18万,12.57万
福特 福克斯 2017款 三厢 1.6L 手动舒适型智行版,2016年,2.1万公里,大连,6.25万,12.57万
别克 君威 2011款 2.4L SIDI舒适版,2011年,6.1万公里,大连,6.41万,22.35万
别克 英朗 2016款 15N 自动豪华型,2016年,3.5万公里,大连,7.07万,14.86万
大众 高尔夫 2015款 1.4TSI 自动豪华型,2015年,8.1万公里,大连,10.00万,18.01万
江淮 瑞风S3 2016款 1.5L CVT豪华智能尊享版,2016年,8.9万公里,大连,4.20万,9.64万
Jeep 指南者 2017款 200T 自动家享四驱版,2018年,2.4万公里,大连,13.53万,21.25万
别克GL8 2014款 2.4L 经典版,2014年,8.4万公里,大连,9.80万,22.69万
福特 蒙迪欧-致胜 2011款 2.0L GTDi200时尚型,2012年,8.0万公里,大连,5.68万,21.69万
马自达CX-5 2013款 2.0L 自动四驱精英型,2013年,6.2万公里,大连,10.20万,22.56万
宝马3系 2010款 318i 领先型,2010年,8.6万公里,大连,8.80万,31.80万
标致301 2014款 1.6L 手动舒适版,2015年,5.7万公里,大连,3.22万,9.19万
奥迪Q5 2015款 40 TFSI 技术型,2015年,9.8万公里,大连,23.58万,46.85万
长安CS75 2014款 1.8T 自动尊贵型 国IV,2016年,5.2万公里,大连,6.74万,15.61万
福特 福克斯 2015款 三厢 1.6L 自动舒适型,2015年,7.9万公里,大连,6.48万,13.55万
丰田 YARiS L 致享 2017款 1.5E CVT魅动版,2017年,3.6万公里,大连,6.80万,9.53万
大众 桑塔纳 2015款 1.6L 手动风尚版,2016年,6.5万公里,大连,5.30万,9.76万
宝马X3 2012款 xDrive20i 豪华型(进口),2013年,7.2万公里,大连,20.00万,52.86万
海马骑士 2013款 2.0L 自动智能领航型,2012年,8.1万公里,大连,4.00万,16.59万
本田 凌派 2015款 1.8L 自动舒适版,2016年,0.5万公里,大连,9.30万,13.55万
哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,2016年,0.6万公里,大连,7.90万,14.85万
Jeep 指南者 2014款 改款 2.4L 四驱舒适版(进口),2015年,2.1万公里,大连,9.93万,26.69万
大众 速腾 2014款 1.6L 自动舒适型,2014年,8.9万公里,大连,7.80万,16.37万
本田 凌派 2016款 1.8L CVT豪华版,2016年,5.7万公里,大连,8.90万,14.63万
宝马1系 2016款 118i 领先型(进口),2016年,4.7万公里,大连,14.88万,27.79万
宝骏730 2014款 1.5L 手动舒适ESP版 7座,2015年,5.8万公里,大连,4.13万,8.23万
大众 捷达 2017款 1.5L 自动时尚型,2018年,1.5万公里,大连,6.50万,10.38万
丰田 卡罗拉 2011款 1.6L 自动GL,2010年,9.5万公里,大连,5.38万,14.31万
大众 迈腾 2011款 1.8TSI DSG舒适型,2010年,11.7万公里,大连,5.84万,24.62万
起亚K3 2015款 1.6L 自动GLS,2015年,4.8万公里,大连,6.60万,13.55万
福特 福克斯 2011款 三厢 1.8L 自动时尚型,2011年,10.4万公里,大连,3.30万,13.87万
大众 宝来 2017款 1.6L 手动舒适型,2017年,2.4万公里,大连,7.58万,13.00万
现代 领动 2016款 1.6L 自动智炫·精英型,2017年,3.2万公里,大连,7.75万,13.00万
大众 捷达 2015款 质惠版 1.6L 手动时尚型,2017年,10.0万公里,大连,4.88万,9.29万
马自达6 2008款 2.0L 自动时尚型,2010年,12.1万公里,大连,4.64万,19.52万
雷诺 卡缤 2015款 1.2T 自动标准版(进口),2015年,7.5万公里,大连,5.68万,15.17万
奥迪Q5 2013款 40 TFSI 进取型,2013年,11.7万公里,大连,18.50万,41.64万
别克 君越 2013款 2.4L SIDI领先舒适型,2014年,8.0万公里,大连,10.98万,25.61万
福特 猛禽 2011款 6.2L Harley-Davspecidson(进口),2014年,4.5万公里,大连,28.80万,89.88万
日产 天籁 2013款 2.0L XL舒适版,2015年,5.5万公里,大连,11.60万,20.17万
别克 君威 2012款 2.0L 舒适版,2013年,11.2万公里,大连,7.50万,20.18万
雪佛兰 科帕奇 2012款 2.4L 四驱旗舰版 7座,2013年,6.1万公里,大连,9.00万,28.63万
雪佛兰 迈锐宝 2014款 2.4L 自动豪华版,2015年,8.1万公里,大连,8.31万,22.24万
北汽绅宝 绅宝X65 2015款 2.0T 自动精英型,2016年,6.3万公里,大连,5.90万,14.09万
奥迪A6L 2011款 2.4L 技术型,2011年,7.6万公里,大连,12.60万,47.87万
标致2008 2014款 1.6L 自动时尚版,2016年,7.3万公里,大连,5.86万,13.21万
现代ix25 2015款 1.6L 自动两驱尊贵型DLX,2014年,5.3万公里,大连,8.99万,17.02万
别克 英朗 2015款 15N 自动豪华型,2015年,7.2万公里,大连,6.98万,14.86万
荣威350 2014款 1.5L 自动迅达版,2015年,3.8万公里,大连,4.60万,9.19万
雪佛兰 科鲁兹 2016款 1.5L 自动豪华版,2015年,7.2万公里,大连,5.98万,14.97万
本田 思域 2016款 180TURBO CVT舒适版,2018年,1.1万公里,大连,11.60万,13.88万
本田 飞度 2018款 1.5L CVT舒适天窗版,2019年,1.4万公里,大连,7.98万,9.31万
大众 迈腾 2013款 1.8TSI 豪华型,2015年,5.6万公里,大连,12.50万,25.27万
本田 飞度 2016款 1.5L LX CVT舒适型,2016年,4.7万公里,大连,7.12万,8.88万
别克 凯越 2013款 1.5L 自动经典型,2014年,7.5万公里,大连,4.30万,11.06万
宝马1系 2012款 118i 运动型(进口),2012年,12.1万公里,大连,10.00万,33.22万
现代 朗动 2013款 1.6L 自动领先型,2014年,4.2万公里,大连,6.58万,13.87万
启辰T70X 2015款 2.0L CVT睿趣运动版,2016年,5.7万公里,大连,7.20万,13.56万
起亚K3 2015款 1.6L 自动GLS,2016年,3.5万公里,大连,7.00万,13.55万
丰田 威驰 2014款 1.5L 自动智臻版,2014年,4.6万公里,大连,5.80万,9.53万
大众 凌渡 2015款 330TSI DSG舒适版,2016年,4.0万公里,大连,11.80万,21.16万
奥迪Q5 2013款 40 TFSI 舒适型,2013年,10.0万公里,大连,18.80万,52.31万
现代 索纳塔八 2013款 2.4L 自动领先版 国IV,2013年,5.8万公里,大连,9.49万,21.70万
MINI 2011款 1.6L COOPER Fun,2012年,8.6万公里,大连,10.80万,29.20万
丰田 皇冠 2018款 2.0T 运动版,2018年,1.6万公里,大连,32.00万,
起亚K4 2014款 1.6T 自动Turbo,2014年,4.8万公里,大连,7.82万,17.35万
哈弗H6 2011款 2.0L 手动两驱精英型,2013年,3.4万公里,大连,4.50万,11.48万
日产 轩逸 2016款 1.6XL CVT豪华版,2016年,3.0万公里,大连,8.70万,14.65万
现代 朗动 2013款 1.6L 自动领先型,2013年,6.0万公里,大连,5.54万,13.87万
启辰D50 2013款 1.6L 手动时尚版,2013年,6.2万公里,大连,3.17万,7.47万
丰田 雷凌 2017款 改款 185T CVT领先版 国VI,2018年,0.7万公里,大连,12.28万,14.74万
本田 奥德赛 2015款 改款 2.4L 智享版,2017年,4.6万公里,大连,22.80万,28.96万
哈弗H6 2013款 1.5T 手动四驱都市型,2013年,5.2万公里,大连,4.40万,11.81万
宝马3系 2013款 320i 进取型,2014年,7.9万公里,大连,17.71万,34.30万
斯柯达 晶锐 2012款 1.4L 自动晶灵版,2012年,6.9万公里,大连,4.10万,10.84万
大众 途锐 2011款 3.0TSI 标配型(进口),2011年,10.4万公里,大连,21.50万,78.15万
马自达3星骋 2013款 两厢 1.6L 自动精英型,2013年,9.0万公里,大连,5.29万,14.09万
众泰T600 2016款 运动版 2.0T 自动尊贵型,2016年,2.9万公里,大连,6.28万,15.17万
丰田 皇冠 2018款 2.0T 运动版,2018年,4.0万公里,大连,24.58万,31.46万
日产 逍客 2016款 2.0L CVT精英版,2017年,3.7万公里,大连,11.30万,16.59万
雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT,2016年,4.3万公里,大连,5.60万,11.93万
奔驰GLK级 2013款 改款 GLK 300 4MATIC 时尚型,2013年,8.8万公里,大连,22.60万,52.65万
别克GL8 2013款 3.0L XT豪华商务旗舰版,2013年,8.3万公里,大连,14.90万,43.41万
现代ix35 2015款 2.0L 自动两驱领先型 国V,2015年,4.6万公里,大连,9.12万,21.25万
现代 途胜 2015款 1.6T 双离合两驱智能型,2016年,4.7万公里,大连,11.50万,19.53万
奔驰C级 2015款 改款 C 180 L 运动型,2016年,2.6万公里,大连,24.98万,35.36万
宝马5系 2014款 525Li 领先型,2016年,8.9万公里,大连,27.88万,50.65万
福特 福克斯 2012款 三厢 1.6L 自动风尚型,2013年,8.3万公里,大连,5.17万,15.62万
宝马X6 2011款 xDrive35i(进口),2012年,6.6万公里,大连,30.44万,114.52万
雪佛兰 科鲁兹 2013款 1.8L SE AT,2013年,4.6万公里,大连,5.50万,14.86万
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,2015年,4.4万公里,大连,11.18万,20.60万
马自达6 2013款 2.0L 自动时尚型,2015年,7.9万公里,大连,7.80万,16.04万
马自达6 2007款 2.0L 手动型,2009年,8.6万公里,大连,3.50万,18.54万
传祺GS4 2015款 200T 手动精英版,2016年,3.1万公里,大连,6.27万,11.81万
起亚 索兰托 2013款 2.4L 7座汽油至尊版 国IV(进口),2015年,6.3万公里,大连,13.60万,31.35万
纳智捷 优6 SUV 2014款 1.8T 时尚型,2015年,2.6万公里,大连,6.18万,16.26万
本田 飞度 2014款 1.5L LX CVT舒适型,2016年,2.4万公里,大连,8.42万,8.88万
奔腾X80 2013款 2.0L 自动豪华型,2013年,6.6万公里,大连,5.50万,15.83万
大众 帕萨特 2011款 1.8TSI DSG御尊版,2012年,8.5万公里,大连,12.30万,26.03万
雪佛兰 科鲁兹 2012款 1.6L SE MT,2012年,14.6万公里,大连,3.00万,13.01万
比亚迪F3 2015款 节能版 1.5L 手动豪华型,2016年,6.2万公里,大连,3.10万,6.07万
大众POLO 2013款 1.4L 手动风尚版,2013年,4.8万公里,大连,3.42万,9.32万
福特 嘉年华 2009款 两厢 1.5L 自动时尚型,2010年,9.4万公里,大连,3.15万,10.41万
荣威550 2012款 550 1.8L 自动超值版,2013年,6.2万公里,大连,4.36万,15.17万
福特 嘉年华 2010款 两厢 1.5L 自动光芒限定版,2010年,10.4万公里,大连,3.13万,10.95万
大众 宝来 2019款 1.5L 自动精英型,2019年,0.8万公里,大连,11.48万,15.09万
奔腾X80 2015款 2.0L 手动豪华型,2015年,5.2万公里,大连,6.00万,14.31万
现代 瑞纳 2014款 1.4L 手动智能型GLS,2015年,4.1万公里,大连,4.30万,8.56万
雪佛兰 2015款 赛欧3 1.3L AMT理想版,2016年,3.5万公里,大连,3.90万,7.48万
MINI Countryman 2014款 1.6T COOPER ALL4 Fun,2015年,1.5万公里,大连,16.90万,32.13万
宝马3系 2011款 325i敞篷轿跑版(进口),2010年,7.2万公里,大连,14.50万,70.01万
大众 途观 2015款 1.8TSI 自动两驱豪华型,2015年,5.5万公里,大连,13.94万,28.20万
哈弗H6 2014款 升级版 1.5T 手动两驱精英型,2014年,7.7万公里,大连,4.28万,13.00万
雪佛兰 2016款 赛欧3 1.3L 手动舒适天窗版,2016年,4.5万公里,大连,3.68万,6.94万
大众 宝来 2013款 1.6L 手动时尚型,2013年,5.5万公里,大连,5.30万,11.70万
福特 翼虎 2013款 1.6L GTDi 两驱舒适型,2014年,6.3万公里,大连,9.00万,21.04万
现代 全新胜达 2013款 改款 2.4L 自动四驱智能型,2014年,7.8万公里,大连,10.00万,28.42万
马自达6 2008款 2.0L 自动时尚型,2010年,10.0万公里,大连,4.20万,19.52万
丰田 YARiS L 致享 2017款 1.5E CVT魅动版,2018年,2.4万公里,大连,6.98万,9.53万
大众 高尔夫 2016款 230TSI 自动舒适型,2016年,3.8万公里,大连,9.98万,16.81万
大众 朗逸 2015款 1.6L 自动风尚版,2016年,8.7万公里,大连,7.98万,13.23万
大众 桑塔纳 2016款 1.4L 手动风尚版,2017年,6.5万公里,大连,5.60万,9.22万
丰田 汉兰达 2009款 2.7L 两驱7座豪华导航版,2010年,7.7万公里,大连,13.30万,34.60万
奔驰C级 2015款 C 200 L 运动型,2015年,8.5万公里,大连,23.80万,40.05万
福特 蒙迪欧  2.0L GTDi200时尚型,2016年,9.7万公里,大连,12.68万,22.01万
日产 奇骏 2010款 2.5L CVT旗舰版 4WD,2011年,5.0万公里,大连,8.09万,28.09万
本田CR-V 2012款 2.0L 两驱都市版,2012年,11.1万公里,大连,10.40万,21.04万
大众 捷达 2015款 质惠版 1.6L 手动时尚型,2016年,5.9万公里,大连,5.20万,9.29万
五菱宏光 2014款 1.5L S舒适型,2015年,3.6万公里,大连,3.38万,7.14万
大众 高尔夫 2011款 1.6 手动舒适型,2011年,13.2万公里,大连,4.58万,13.66万
大众 朗行 2015款 230TSI DSG舒适版,2017年,1.4万公里,大连,9.50万,16.27万
哈弗H6 2014款 运动版 1.5T 手动两驱精英型,2015年,2.5万公里,大连,6.20万,13.98万
丰田 花冠 2013款 1.6L 自动豪华版,2015年,7.2万公里,大连,6.88万,12.35万
丰田 威驰 2014款 1.3L 自动型尚版,2016年,3.1万公里,大连,5.41万,9.10万
别克 威朗 2015款 三厢 20T 双离合旗舰型,2017年,1.9万公里,大连,9.09万,21.70万
马自达6 2011款 2.0L 自动时尚型,2011年,7.9万公里,大连,5.80万,19.52万
哈弗H6 2014款 运动版 1.5T 手动两驱精英型,2014年,8.8万公里,大连,5.20万,13.98万
丰田 卡罗拉 2014款 1.6L CVT GL-i,2015年,2.8万公里,大连,8.13万,13.87万
哈弗H2 2016款 红标 1.5T 自动两驱精英型,2016年,2.6万公里,大连,6.95万,12.68万
日产 轩逸 2012款 经典 1.6XE 自动舒适版,2014年,9.2万公里,大连,5.90万,11.92万
丰田 卡罗拉 2017款 1.2T CVT GL,2017年,7.1万公里,大连,8.60万,13.00万
奔驰GLA级 2015款 GLA 220 4MATIC 时尚型,2015年,4.2万公里,大连,19.80万,34.71万
吉利 博越 2016款 1.8TD 自动智尊型,2017年,3.0万公里,大连,8.42万,16.15万
北汽绅宝 绅宝D50 2014款 1.5L 手动舒适版,2015年,7.5万公里,大连,3.04万,8.88万
标致3008 2015款 1.6THP 自动至尚版,2015年,2.9万公里,大连,9.00万,23.96万
比亚迪S6 2013款 白金版 2.0L 手动精英型,2014年,5.0万公里,大连,3.68万,9.76万
本田 奥德赛 2017款 2.4L 至尊福祉版,2017年,0.9万公里,大连,27.70万,38.51万
MINI Clubman 2011款 1.6L COOPER Fun,2012年,6.7万公里,大连,11.00万,31.37万
标致408 2013款 2.0L 自动舒适版,2014年,7.0万公里,大连,4.80万,15.62万
大众 宝来 2018款 1.5L 自动时尚型,2019年,1.2万公里,大连,11.30万,13.00万
本田 雅阁 2011款 2.4L EX,2011年,6.1万公里,大连,9.08万,24.94万
福特 福克斯 2012款 三厢 1.6L 手动舒适型,2014年,5.0万公里,大连,4.96万,13.01万
现代ix35 2010款 2.4L 自动两驱尊贵版GLS,2011年,8.6万公里,大连,7.20万,23.21万
大众 途观 2013款 1.8TSI 自动两驱豪华型,2014年,13.0万公里,大连,12.20万,28.20万
斯柯达Yeti 2016款 1.4TSI DSG前行版,2015年,7.2万公里,大连,7.98万,16.26万
福特 蒙迪欧 2017款 EcoBoost 200 时尚型,2017年,3.2万公里,大连,14.60万,22.34万
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,2017年,7.3万公里,大连,27.88万,32.00万
日产 轩逸 2012款 经典 1.6XE 自动舒适版,2013年,6.3万公里,大连,6.28万,11.92万
长安CS35 2017款 1.6L 手动豪华型,2017年,1.0万公里,大连,5.66万,7.37万
雪佛兰 科鲁兹 2013款 掀背 1.6L 自动豪华型,2014年,4.5万公里,大连,5.68万,14.53万
长安CS35 2016款 1.6L 手动豪华型 国V,2017年,2.1万公里,大连,5.50万,9.11万
别克 凯越 2011款 1.6LE-AT,2011年,7.8万公里,大连,2.89万,12.80万
本田 缤智 2017款 1.5L CVT两驱舒适型,2017年,2.9万公里,大连,11.30万,14.85万
奥迪A4L 2010款 2.0 TFSI 豪华型,2010年,12.1万公里,大连,10.38万,43.31万
大众POLO 2014款 1.6L 自动舒适版,2015年,4.9万公里,大连,6.08万,11.28万
现代 名图 2017款 1.8L 自动尊贵型DLX,2017年,0.9万公里,大连,9.60万,17.35万
日产 逍客 2011款 2.0XL 火 6MT 2WD,2013年,12.2万公里,大连,5.80万,16.48万
大众 途安 2011款 1.4T 自动智臻版5座,2012年,15.1万公里,大连,7.00万,21.04万
本田 思铂睿 2009款 2.4L 豪华版,2010年,14.3万公里,大连,6.40万,25.81万
丰田 卡罗拉 2014款 1.6L CVT GL-i,2016年,6.0万公里,大连,9.58万,13.87万
日产 天籁 2013款 2.0L XL舒适版,2016年,7.7万公里,大连,11.22万,20.17万
宝马5系 2014款 520Li 典雅型,2016年,4.5万公里,大连,27.00万,47.28万
别克 凯越 2013款 1.5L 自动尊享型,2014年,9.4万公里,大连,4.77万,12.58万
标致308 2014款 乐享版 经典 1.6L 手动优尚型,2015年,9.1万公里,大连,4.48万,11.50万
宝马X3 2013款 xDrive20i 豪华型(进口),2014年,8.7万公里,大连,22.60万,54.16万
大众CC 2010款 2.0TSI 至尊型,2010年,7.6万公里,大连,11.60万,32.54万
现代ix35 2012款 2.0L 自动两驱精英版GLS,2013年,6.8万公里,大连,8.38万,21.25万
北汽幻速S2 2015款 1.5L 手动豪华型 国V,2016年,2.8万公里,大连,3.68万,7.36万
凯迪拉克ATS 2014款 28T 精英型(进口),2014年,8.5万公里,大连,15.60万,35.60万
